time_s,JR_mean_T_K,JR_max_T_K,JR_probe_centerline_T_K,JR_probe_radial_edge_T_K,JR_probe_axial_bottom_T_K,JR_probe_axial_top_T_K,Can_mean_T_K,Can_wall_probe_T_K,top_end_T_K,bottom_end_T_K,total_stored_energy_J_rel_t0,total_boundary_heat_loss_J_cumulative,wallheatflux_raw_W_DIAGNOSTIC_ONLY
2.3,298.277243,298.282284,298.28228,298.26959,298.24987,298.2803,298.264711,298.26884,298.15001,298.24371,7.512573164017763,-0.044016269017763676,-0.08582082424700001
2.35,298.279993,298.28516,298.28516,298.27229,298.25221,298.28312,298.267313,298.27153,298.15001,298.24602,7.679232361296226,-0.04831553379622644,-0.087772047266
2.4,298.282743,298.288035,298.28803,298.27499,298.25455,298.28593,298.269916,298.27422,298.15001,298.24833,7.845879032303578,-0.052602272303579056,-0.089724292892
2.45,298.285492,298.29091,298.29091,298.27769,298.25689,298.28874,298.272521,298.27692,298.15001,298.25065,8.012513256494522,-0.05687656399452212,-0.091677524841
2.5,298.288241,298.293785,298.29378,298.28039,298.25924,298.29155,298.275126,298.27961,298.15001,298.25296,8.179135044438226,-0.061138419438226066,-0.093631708652
2.55,298.290989,298.29666,298.29666,298.28309,298.26159,298.29436,298.277732,298.28231,298.15001,298.25529,8.345744442733153,-0.06538788523315375,-0.09558681139
2.6,298.293737,298.299535,298.29953,298.28579,298.26395,298.29717,298.280339,298.28501,298.15001,298.25762,8.512341428321179,-0.06962493832118,-0.097542801841
2.65,298.296485,298.30241,298.30241,298.2885,298.26631,298.29998,298.282947,298.28771,298.15001,298.25995,8.678926039922578,-0.07384961742257978,-0.09949965021400001
2.7,298.299232,298.305285,298.30528,298.2912,298.26867,298.30279,298.285556,298.29041,298.15001,298.26228,8.84549829820057,-0.07806194320057003,-0.10145732804
2.75,298.301979,298.30816,298.30816,298.29391,298.27103,298.30559,298.288166,298.29311,298.15001,298.26462,9.012058256589775,-0.08226196908977634,-0.103415808474
2.8,298.304725,298.311035,298.31103,298.29662,298.2734,298.3084,298.290777,298.29581,298.15001,298.26696,9.178605898824816,-0.08644967882481858,-0.10537506479
2.85,298.307471,298.313909,298.31391,298.29932,298.27577,298.31121,298.293389,298.29851,298.15001,298.2693,9.345141238168297,-0.09062508566829841,-0.10733507268499999
2.9,298.310217,298.316784,298.31678,298.30203,298.27814,298.31402,298.296001,298.30122,298.15002,298.27164,9.511664298803817,-0.09478821380381852,-0.10929580887700001
2.95,298.312962,298.319659,298.31966,298.30474,298.28052,298.31683,298.298614,298.30392,298.15002,298.27399,9.678175133628498,-0.09893911612849848,-0.111257249104
3.0,298.315707,298.322534,298.32253,298.30745,298.2829,298.31963,298.301228,298.30663,298.15002,298.27634,9.844673723439449,-0.10307777343945013,-0.113219374126
3.05,298.318451,298.325409,298.32541,298.31016,298.28528,298.32244,298.303842,298.30933,298.15002,298.2787,10.011160081718362,-0.10720419921836388,-0.115182160722
3.1,298.321196,298.328283,298.32828,298.31288,298.28766,298.32524,298.306457,298.31204,298.15002,298.28105,10.177634224824496,-0.11131840982449681,-0.11714558969
3.15,298.323939,298.331158,298.33116,298.31559,298.29005,298.32805,298.309073,298.31475,298.15002,298.28341,10.344096201801698,-0.11542045430169878,-0.11910964184900001
3.2,298.326683,298.334032,298.33403,298.3183,298.29243,298.33085,298.31169,298.31746,298.15002,298.28577,10.510545987950378,-0.11951030795037809,-0.121074299037
3.25,298.329426,298.336907,298.33691,298.32102,298.29482,298.33366,298.314307,298.32017,298.15002,298.28814,10.676983613833585,-0.1235880013335855,-0.12303954210899999
3.3,298.332168,298.339782,298.33978,298.32373,298.29722,298.33646,298.316924,298.32288,298.15003,298.2905,10.843409116034058,-0.1276535710340596,-0.12500535594099998
3.35,298.334911,298.342656,298.34265,298.32645,298.29961,298.33927,298.319542,298.32559,298.15003,298.29287,11.009822452605578,-0.13170697510557794,-0.126971722426
