time_s,t_eff_k,q_raw_w
53.2,298.127,-0.001642
53.3,298.127,-0.002459
53.4,298.127,-0.003272
53.5,298.127,-0.004082
53.6,298.127,-0.004887
53.7,298.127,-0.005689
53.8,298.127,-0.006487
53.9,298.127,-0.007281
54.0,298.127,-0.008052
54.1,298.127,-0.008327
54.2,298.127,-0.008583
54.3,298.127,-0.008838
54.4,298.127,-0.009093
54.5,298.127,-0.009347
54.6,298.127,-0.009601
54.7,298.127,-0.009855
54.8,298.127,-0.010108
54.9,298.127,-0.010361
55.0,298.127,-0.010579
55.1,298.127,-0.010613
55.2,298.127,-0.010614
55.3,298.127,-0.010614
55.4,298.127,-0.010615
55.5,298.127,-0.010615
55.6,298.127,-0.010616
55.7,298.127,-0.010617
55.8,298.127,-0.010617
55.9,298.127,-0.010618
56.0,298.127,-0.010641
56.1,298.127,-0.011413
56.2,298.127,-0.012202
56.3,298.127,-0.012987
56.4,298.127,-0.013767
56.5,298.126,-0.014543
56.6,298.126,-0.015315
56.7,298.126,-0.016081
56.8,298.126,-0.016844
56.9,298.126,-0.017601
57.0,298.126,-0.0183
57.1,298.126,-0.018407
57.2,298.126,-0.01846
57.3,298.126,-0.018513
57.4,298.126,-0.018566
57.5,298.126,-0.018619
57.6,298.126,-0.018673
57.7,298.126,-0.018726
57.8,298.126,-0.01878
57.9,298.126,-0.018833
58.0,298.126,-0.018936
58.1,298.126,-0.023623
58.2,298.126,-0.02818
58.3,298.126,-0.032557
58.4,298.126,-0.036749
58.5,298.126,-0.040756
58.6,298.126,-0.044575
58.7,298.126,-0.048204
58.8,298.126,-0.051641
58.9,298.126,-0.054885
59.0,298.125,-0.057835
59.1,298.125,-0.05556
59.2,298.125,-0.05312
59.3,298.125,-0.050612
59.4,298.125,-0.048031
59.5,298.125,-0.045376
59.6,298.125,-0.042644
59.7,298.125,-0.039832
59.8,298.125,-0.036938
59.9,298.125,-0.033961
60.0,298.125,-0.030969
60.1,298.125,-0.031032
60.2,298.125,-0.031166
60.3,298.125,-0.031298
60.4,298.124,-0.03143
60.5,298.124,-0.031562
60.6,298.124,-0.031693
60.7,298.124,-0.031824
60.8,298.124,-0.031954
60.9,298.124,-0.032083
61.0,298.124,-0.032207
61.1,298.124,-0.031441
61.2,298.124,-0.030666
61.3,298.124,-0.029885
61.4,298.124,-0.0291
61.5,298.124,-0.02831
61.6,298.124,-0.027514
61.7,298.124,-0.026713
61.8,298.124,-0.025907
61.9,298.124,-0.025096
62.0,298.124,-0.024296
62.1,298.124,-0.02625
62.2,298.124,-0.028187
62.3,298.124,-0.03009
62.4,298.124,-0.031957
62.5,298.123,-0.033788
62.6,298.123,-0.035583
62.7,298.123,-0.037341
62.8,298.123,-0.039062
62.9,298.123,-0.040746
63.0,298.123,-0.042329
63.1,298.123,-0.042022
63.2,298.123,-0.041653
63.3,298.123,-0.041285
63.4,298.123,-0.040917
63.5,298.123,-0.04055
63.6,298.123,-0.040183
63.7,298.123,-0.039816
63.8,298.123,-0.03945
63.9,298.123,-0.039084
64.0,298.123,-0.038685
64.1,298.122,-0.037631
64.2,298.122,-0.036535
64.3,298.122,-0.035429
64.4,298.122,-0.034312
64.5,298.122,-0.033184
64.6,298.122,-0.032045
64.7,298.122,-0.030894
64.8,298.122,-0.029732
64.9,298.122,-0.028558
65.0,298.122,-0.02741
65.1,298.122,-0.027429
65.2,298.122,-0.027486
65.3,298.122,-0.027543
65.4,298.122,-0.027599
65.5,298.122,-0.027655
65.6,298.122,-0.02771
65.7,298.122,-0.027765
65.8,298.122,-0.02782
65.9,298.122,-0.027874
66.0,298.122,-0.027955
66.1,298.121,-0.033474
66.2,298.121,-0.03872
66.3,298.121,-0.043664
66.4,298.121,-0.048299
66.5,298.121,-0.052622
66.6,298.121,-0.05663
66.7,298.121,-0.060318
66.8,298.121,-0.063684
66.9,298.121,-0.066724
67.0,298.121,-0.069355
67.1,298.121,-0.07143
67.2,298.12,-0.073183
67.3,298.12,-0.074693
67.4,298.12,-0.075958
67.5,298.12,-0.076979
67.6,298.12,-0.077752
67.7,298.12,-0.078278
67.8,298.12,-0.078554
67.9,298.12,-0.078568
68.0,298.119,-0.078344
68.1,298.119,-0.077899
68.2,298.119,-0.077282
68.3,298.119,-0.076506
68.4,298.119,-0.075571
68.5,298.119,-0.074475
68.6,298.119,-0.073222
68.7,298.119,-0.07182
68.8,298.118,-0.070262
68.9,298.118,-0.068548
69.0,298.118,-0.066676
69.1,298.118,-0.064976
69.2,298.118,-0.063288
69.3,298.118,-0.061523
69.4,298.118,-0.059681
69.5,298.118,-0.057763
69.6,298.118,-0.055766
69.7,298.118,-0.053692
69.8,298.117,-0.05154
69.9,298.117,-0.04931
70.0,298.117,-0.047113
70.1,298.117,-0.046378
70.2,298.117,-0.045782
70.3,298.117,-0.045213
70.4,298.117,-0.044669
70.5,298.117,-0.044149
70.6,298.117,-0.043651
70.7,298.117,-0.043175
70.8,298.117,-0.04272
70.9,298.117,-0.042507
71.0,298.117,-0.042378
71.1,298.116,-0.04395
71.2,298.116,-0.045939
71.3,298.116,-0.04784
71.4,298.116,-0.049644
71.5,298.116,-0.051348
71.6,298.116,-0.052945
71.7,298.116,-0.054432
71.8,298.116,-0.0558
71.9,298.116,-0.056988
72.0,298.116,-0.058066
72.1,298.116,-0.059031
72.2,298.116,-0.059805
72.3,298.115,-0.060476
72.4,298.115,-0.061048
72.5,298.115,-0.061521
72.6,298.115,-0.061891
72.7,298.115,-0.062157
72.8,298.115,-0.062317
72.9,298.115,-0.062369
73.0,298.115,-0.062316
73.1,298.115,-0.062344
73.2,298.114,-0.062364
73.3,298.114,-0.062371
73.4,298.114,-0.062367
73.5,298.114,-0.062351
73.6,298.114,-0.062324
73.7,298.114,-0.062286
73.8,298.114,-0.062238
73.9,298.114,-0.062197
74.0,298.114,-0.062152
74.1,298.114,-0.062293
74.2,298.113,-0.062458
74.3,298.113,-0.062602
74.4,298.113,-0.062725
74.5,298.113,-0.062827
74.6,298.113,-0.06291
74.7,298.113,-0.062973
74.8,298.113,-0.063017
74.9,298.113,-0.063041
75.0,298.113,-0.063048
75.1,298.113,-0.063037
75.2,298.112,-0.063005
75.3,298.112,-0.062952
75.4,298.112,-0.062879
75.5,298.112,-0.062786
75.6,298.112,-0.062672
75.7,298.112,-0.062538
75.8,298.112,-0.062383
75.9,298.112,-0.062208
76.0,298.112,-0.06203
76.1,298.112,-0.061987
76.2,298.111,-0.061949
76.3,298.111,-0.0619
76.4,298.111,-0.061839
76.5,298.111,-0.061764
76.6,298.111,-0.061675
76.7,298.111,-0.061571
76.8,298.111,-0.061451
76.9,298.111,-0.061314
77.0,298.111,-0.061145
77.1,298.11,-0.060725
77.2,298.11,-0.060153
77.3,298.11,-0.059441
77.4,298.11,-0.058586
77.5,298.11,-0.057586
77.6,298.11,-0.056438
77.7,298.11,-0.055139
77.8,298.11,-0.053687
77.9,298.11,-0.052079
78.0,298.11,-0.050238
78.1,298.11,-0.04786
78.2,298.109,-0.045155
78.3,298.109,-0.042198
78.4,298.109,-0.038983
78.5,298.109,-0.03551
78.6,298.109,-0.031774
78.7,298.109,-0.027774
78.8,298.109,-0.023507
78.9,298.109,-0.01897
79.0,298.109,-0.014172
79.1,298.109,-0.014123
79.2,298.109,-0.014081
79.3,298.109,-0.014038
79.4,298.109,-0.013992
79.5,298.109,-0.013944
79.6,298.109,-0.013894
79.7,298.109,-0.013842
79.8,298.109,-0.013788
79.9,298.109,-0.013733
80.0,298.109,-0.013641
80.1,298.109,-0.012399
80.2,298.109,-0.011102
80.3,298.109,-0.009784
80.4,298.109,-0.008446
80.5,298.109,-0.007088
80.6,298.109,-0.00571
80.7,298.109,-0.004312
80.8,298.109,-0.002894
80.9,298.109,-0.001455
81.0,298.109,-0.0
81.1,298.109,-0.002761
81.2,298.109,-0.005477
81.3,298.109,-0.008144
81.4,298.109,-0.01076
81.5,298.109,-0.013323
81.6,298.109,-0.015834
81.7,298.109,-0.01829
81.8,298.109,-0.020691
81.9,298.109,-0.023035
82.0,298.109,-0.025253
82.1,298.109,-0.025281
82.2,298.109,-0.025239
82.3,298.109,-0.025198
82.4,298.108,-0.025157
82.5,298.108,-0.025115
82.6,298.108,-0.025074
82.7,298.108,-0.025034
82.8,298.108,-0.024993
82.9,298.108,-0.024952
83.0,298.108,-0.0249
83.1,298.108,-0.022666
83.2,298.108,-0.020368
83.3,298.108,-0.018017
83.4,298.108,-0.015611
83.5,298.108,-0.013151
83.6,298.108,-0.010635
83.7,298.108,-0.008063
83.8,298.108,-0.005432
83.9,298.108,-0.002744
84.0,298.108,-1e-06
84.1,298.108,-0.000207
84.2,298.108,-0.000414
84.3,298.108,-0.000621
84.4,298.108,-0.00083
84.5,298.108,-0.001038
84.6,298.108,-0.001246
84.7,298.108,-0.001454
84.8,298.108,-0.001663
84.9,298.108,-0.001871
85.0,298.108,-0.002069
85.1,298.108,-0.001874
85.2,298.108,-0.001668
85.3,298.108,-0.001461
85.4,298.108,-0.001254
85.5,298.108,-0.001046
85.6,298.108,-0.000837
85.7,298.108,-0.000628
85.8,298.108,-0.000419
85.9,298.108,-0.00021
86.0,298.108,-1e-06
86.1,298.108,-0.001583
86.2,298.108,-0.003153
86.3,298.108,-0.004707
86.4,298.108,-0.006245
86.5,298.108,-0.007768
86.6,298.108,-0.009273
86.7,298.108,-0.010762
86.8,298.108,-0.012233
86.9,298.108,-0.013688
87.0,298.108,-0.015099
87.1,298.108,-0.013689
87.2,298.108,-0.012237
87.3,298.108,-0.010769
87.4,298.108,-0.009284
87.5,298.108,-0.007781
87.6,298.108,-0.006261
87.7,298.108,-0.004723
87.8,298.108,-0.003166
87.9,298.108,-0.001591
88.0,298.108,-0.0
88.1,298.108,0.0
88.2,298.108,0.0
88.3,298.108,0.0
88.4,298.108,0.0
88.5,298.108,0.0
88.6,298.108,0.0
88.7,298.108,0.0
88.8,298.108,0.0
88.9,298.108,0.0
89.0,298.108,0.0
89.1,298.108,0.0
89.2,298.108,0.0
89.3,298.108,0.0
89.4,298.108,0.0
89.5,298.108,0.0
89.6,298.108,0.0
89.7,298.108,0.0
89.8,298.108,0.0
89.9,298.108,0.0
90.0,298.108,0.0
90.1,298.108,0.0
90.2,298.108,0.0
90.3,298.108,0.0
90.4,298.108,0.0
90.5,298.108,0.0
90.6,298.108,0.0
90.7,298.108,0.0
90.8,298.108,0.0
90.9,298.108,0.0
91.0,298.108,0.0
91.1,298.108,0.0
91.2,298.108,0.0
91.3,298.108,0.0
91.4,298.108,0.0
91.5,298.108,0.0
91.6,298.108,0.0
91.7,298.108,0.0
91.8,298.108,0.0
91.9,298.108,0.0
92.0,298.108,0.0
92.1,298.108,0.0
92.2,298.108,0.0
92.3,298.108,0.0
92.4,298.108,0.0
92.5,298.108,0.0
92.6,298.108,0.0
92.7,298.108,0.0
92.8,298.108,0.0
92.9,298.108,0.0
93.0,298.108,0.0
93.1,298.108,0.0
93.2,298.108,0.0
93.3,298.108,0.0
93.4,298.108,0.0
93.5,298.108,0.0
93.6,298.108,0.0
93.7,298.108,0.0
93.8,298.108,0.0
93.9,298.108,0.0
94.0,298.108,0.0
94.1,298.108,0.0
94.2,298.108,0.0
94.3,298.108,0.0
94.4,298.108,0.0
94.5,298.108,0.0
94.6,298.108,0.0
94.7,298.108,0.0
94.8,298.108,0.0
94.9,298.108,0.0
95.0,298.108,0.0
95.1,298.108,0.0
95.2,298.108,0.0
95.3,298.108,0.0
95.4,298.108,0.0
95.5,298.108,0.0
95.6,298.108,0.0
95.7,298.108,0.0
95.8,298.108,0.0
95.9,298.108,0.0
96.0,298.108,0.0
96.1,298.108,0.0
96.2,298.108,0.0
96.3,298.108,0.0
96.4,298.108,0.0
96.5,298.108,0.0
96.6,298.108,0.0
96.7,298.108,0.0
96.8,298.108,0.0
96.9,298.108,0.0
97.0,298.108,0.0
97.1,298.108,0.0
97.2,298.108,0.0
97.3,298.108,0.0
97.4,298.108,0.0
97.5,298.108,0.0
97.6,298.108,0.0
97.7,298.108,0.0
97.8,298.108,0.0
97.9,298.108,0.0
98.0,298.108,0.0
98.1,298.108,0.0
98.2,298.108,0.0
98.3,298.108,0.0
98.4,298.108,0.0
98.5,298.108,0.0
98.6,298.108,0.0
98.7,298.108,0.0
98.8,298.108,0.0
98.9,298.108,0.0
99.0,298.108,0.0
99.1,298.108,0.0
99.2,298.108,0.0
99.3,298.108,0.0
99.4,298.108,0.0
99.5,298.108,0.0
99.6,298.108,0.0
99.7,298.108,0.0
99.8,298.108,0.0
99.9,298.108,0.0
100.0,298.108,0.0
100.1,298.108,0.0
100.2,298.108,0.0
100.3,298.108,0.0
100.4,298.108,0.0
100.5,298.108,0.0
100.6,298.108,0.0
100.7,298.108,0.0
100.8,298.108,0.0
100.9,298.108,0.0
101.0,298.108,0.0
101.1,298.108,0.0
101.2,298.108,0.0
101.3,298.108,0.0
101.4,298.108,0.0
