time,probe0,probe1,probe2
163.0,6.45972e+25,3.43458e+25,1.30288e+25
164.0,9.08303e+25,4.82937e+25,1.83198e+25
165.0,1.27717e+26,6.79058e+25,2.57595e+25
166.0,1.79582e+26,9.54825e+25,3.62205e+25
167.0,2.52511e+26,1.34258e+26,5.09297e+25
168.0,3.55056e+26,1.8878e+26,7.16124e+25
169.0,4.99245e+26,2.65444e+26,1.00694e+26
170.0,7.01989e+26,3.73242e+26,1.41586e+26
171.0,9.87068e+26,5.24816e+26,1.99085e+26
172.0,1.38792e+27,7.37944e+26,2.79933e+26
173.0,1.95155e+27,1.03762e+27,3.93615e+26
174.0,2.74408e+27,1.459e+27,5.53462e+26
175.0,3.85846e+27,2.05151e+27,7.78224e+26
176.0,5.42538e+27,2.88463e+27,1.09426e+27
177.0,7.62864e+27,4.05608e+27,1.53864e+27
178.0,1.07266e+28,5.70326e+27,2.16349e+27
179.0,1.50827e+28,8.01936e+27,3.04208e+27
180.0,2.12079e+28,1.1276e+28,4.27748e+27
181.0,2.98204e+28,1.58553e+28,6.01457e+27
182.0,4.19305e+28,2.22941e+28,8.45709e+27
183.0,5.89585e+28,3.13478e+28,1.18915e+28
184.0,8.29017e+28,4.40781e+28,1.67207e+28
185.0,1.16568e+29,6.19783e+28,2.3511e+28
186.0,1.63907e+29,8.71478e+28,3.30588e+28
187.0,2.30469e+29,1.22539e+29,4.64841e+28
188.0,3.24063e+29,1.72302e+29,6.53613e+28
189.0,4.55666e+29,2.42274e+29,9.19046e+28
190.0,6.40712e+29,3.40661e+29,1.29227e+29
191.0,9.00907e+29,4.79004e+29,1.81707e+29
192.0,1.26677e+30,6.73529e+29,2.55498e+29
193.0,1.7812e+30,9.4705e+29,3.59256e+29
194.0,2.50455e+30,1.33165e+30,5.0515e+29
195.0,3.52165e+30,1.87243e+30,7.10292e+29
196.0,4.9518e+30,2.63283e+30,9.98743e+29
197.0,6.96273e+30,3.70202e+30,1.40433e+30
198.0,9.7903e+30,5.20542e+30,1.97464e+30
199.0,1.37662e+31,7.31935e+30,2.77654e+30
200.0,1.93566e+31,1.02917e+31,3.90409e+30
