"Points:0","Points:1","Points:2","T","coords:0","coords:1","coords:2"
-1.210719347e-08,-0.005449301098,0.003864933969,319.241394,-1.210719347e-08,-0.005449301098,0.003864933969
-1.210719347e-08,-0.005018070806,0.004873117432,323.4298096,-1.210719347e-08,-0.005018070806,0.004873117432
-1.210719347e-08,-0.005007145461,0.003975947388,320.6887817,-1.210719347e-08,-0.005007145461,0.003975947388
-1.210719347e-08,-0.00401100656,0.004864515737,324.0002136,-1.210719347e-08,-0.00401100656,0.004864515737
-1.210719347e-08,-0.004003675189,0.003973089624,320.8682861,-1.210719347e-08,-0.004003675189,0.003973089624
-1.210719347e-08,-0.004503982607,0.003846892389,319.2243347,-1.210719347e-08,-0.004503982607,0.003846892389
-1.210719347e-08,-0.0030020657,0.003971511498,320.0585632,-1.210719347e-08,-0.0030020657,0.003971511498
-1.210719347e-08,-0.00300277397,0.004107181448,322.5870056,-1.210719347e-08,-0.00300277397,0.004107181448
-1.210719347e-08,-0.003345199162,0.003884906415,320.4413757,-1.210719347e-08,-0.003345199162,0.003884906415
-1.210719347e-08,-0.003006700892,0.004859421402,324.2937012,-1.210719347e-08,-0.003006700892,0.004859421402
-1.210719347e-08,-0.003502040636,0.003845318919,320.0171204,-1.210719347e-08,-0.003502040636,0.003845318919
-1.210719347e-08,-0.002001142362,0.00397060439,319.6398621,-1.210719347e-08,-0.002001142362,0.00397060439
-1.210719347e-08,-0.002001561457,0.004107418004,322.6825256,-1.210719347e-08,-0.002001561457,0.004107418004
-1.210719347e-08,-0.002501150593,0.003844440216,320.5272827,-1.210719347e-08,-0.002501150593,0.003844440216
-1.210719347e-08,-0.002003856236,0.004856417887,324.1900024,-1.210719347e-08,-0.002003856236,0.004856417887
-1.210719347e-08,-0.001000491902,0.003970131744,320.1522827,-1.210719347e-08,-0.001000491902,0.003970131744
-1.210719347e-08,-0.001500562183,0.003843955696,321.0003357,-1.210719347e-08,-0.001500562183,0.003843955696
-1.210719347e-08,-0.001001145924,0.004426426254,322.7219238,-1.210719347e-08,-0.001001145924,0.004426426254
-1.210719347e-08,-0.001001759898,0.004854830448,324.2507629,-1.210719347e-08,-0.001001759898,0.004854830448
-1.210719347e-08,-0.0007052682922,0.003895567963,319.8728333,-1.210719347e-08,-0.0007052682922,0.003895567963
-1.210719347e-08,1.722843379e-08,0.004854331259,324.8770752,-1.210719347e-08,1.722843379e-08,0.004854331259
-1.210719347e-08,8.919887762e-08,0.003969985992,320.895874,-1.210719347e-08,8.919887762e-08,0.003969985992
-1.210719347e-08,-0.00050012063,0.003843747079,320.5889893,-1.210719347e-08,-0.00050012063,0.003843747079
-1.210719347e-08,0.001001360943,0.004573383834,322.7235718,-1.210719347e-08,0.001001360943,0.004573383834
