time_s,delta_t_s,step_id,t_eff_k,alpha,q_raw_w,q_target_w,q_applied_w,source_sum_openfoam_w
63.500000000000632,0.10000000000000001,635,308.15787273934859,1,30.916566489758232,30.916566489758232,30.916566489758232,30.916566489758232
63.600000000000634,0.10000000000000001,636,308.16520394571893,1,30.923471652085333,30.923471652085333,30.923471652085333,30.923471652085333
63.700000000000635,0.10000000000000001,637,308.17252149049551,1,30.930125111403562,30.930125111403562,30.930125111403562,30.930125111403562
63.800000000000637,0.10000000000000001,638,308.17982497396599,1,30.936521934211221,30.936521934211221,30.936521934211221,30.936521934211221
63.900000000000638,0.10000000000000001,639,308.1871140252577,1,30.942857699961618,30.942857699961618,30.942857699961618,30.942857699961618
64.000000000000639,0.10000000000000001,640,308.19438863195512,1,30.9491982381297,30.9491982381297,30.9491982381297,30.9491982381297
64.100000000000634,0.10000000000000001,641,308.20164889309746,1,30.955493813473833,30.955493813473833,30.955493813473833,30.955493813473833
64.200000000000628,0.10000000000000001,642,308.20889482821769,1,30.961805789777763,30.961805789777763,30.961805789777763,30.961805789777763
64.300000000000622,0.10000000000000001,643,308.21612655279199,1,30.968139448214036,30.968139448214036,30.968139448214036,30.968139448214036
64.400000000000617,0.10000000000000001,644,308.2233441831645,1,30.974498858977249,30.974498858977249,30.974498858977249,30.974498858977249
64.500000000000611,0.10000000000000001,645,308.23054783728458,1,30.980866688897162,30.980866688897162,30.980866688897162,30.980866688897162
64.600000000000605,0.10000000000000001,646,308.23773760001637,1,30.98723577139657,30.98723577139657,30.98723577139657,30.98723577139657
64.7000000000006,0.10000000000000001,647,308.24491354068988,1,30.993723640580136,30.993723640580136,30.993723640580136,30.993723640580136
64.800000000000594,0.10000000000000001,648,308.25207592415285,1,31.000266189692503,31.000266189692503,31.000266189692503,31.000266189692503
64.900000000000588,0.10000000000000001,649,308.25922490244375,1,31.00663387615975,31.00663387615975,31.00663387615975,31.00663387615975
65.000000000000583,0.10000000000000001,650,308.26636024658734,1,31.012997146665427,31.012997146665427,31.012997146665427,31.012997146665427
65.100000000000577,0.10000000000000001,651,308.27348202573808,1,31.019345329574136,31.019345329574136,31.019345329574136,31.019345329574136
65.200000000000571,0.10000000000000001,652,308.28059028669782,1,31.025723091294296,31.025723091294296,31.025723091294296,31.025723091294296
65.300000000000566,0.10000000000000001,653,308.28768516337135,1,31.032108480861698,31.032108480861698,31.032108480861698,31.032108480861698
65.40000000000056,0.10000000000000001,654,308.29476674168518,1,31.038478661584342,31.038478661584342,31.038478661584342,31.038478661584342
65.500000000000554,0.10000000000000001,655,308.30183506401397,1,31.044843830001156,31.044843830001156,31.044843830001156,31.044843830001156
65.600000000000549,0.10000000000000001,656,308.30889018855424,1,31.051218334817822,31.051218334817822,31.051218334817822,31.051218334817822
65.700000000000543,0.10000000000000001,657,308.31593219026598,1,31.057616278028295,31.057616278028295,31.057616278028295,31.057616278028295
65.800000000000537,0.10000000000000001,658,308.32296115435577,1,31.064003293245541,31.064003293245541,31.064003293245541,31.064003293245541
65.900000000000531,0.10000000000000001,659,308.32997710452179,1,31.070422449265997,31.070422449265997,31.070422449265997,31.070422449265997
66.000000000000526,0.10000000000000001,660,308.33698013287454,1,31.077230068624338,31.077230068624338,31.077230068624338,31.077230068624338
66.10000000000052,0.10000000000000001,661,308.34397090715174,1,31.084365170969402,31.084365170969402,31.084365170969402,31.084365170969402
66.200000000000514,0.10000000000000001,662,308.35094997444753,1,31.091575598178249,31.091575598178249,31.091575598178249,31.091575598178249
66.300000000000509,0.10000000000000001,663,308.35791745651227,1,31.098719540117603,31.098719540117603,31.098719540117603,31.098719540117603
66.400000000000503,0.10000000000000001,664,308.3648732447457,1,31.105793304975784,31.105793304975784,31.105793304975784,31.105793304975784
66.500000000000497,0.10000000000000001,665,308.37181723245141,1,31.112800528628419,31.112800528628419,31.112800528628419,31.112800528628419
66.600000000000492,0.10000000000000001,666,308.37874932490394,1,31.119754534162627,31.119754534162627,31.119754534162627,31.119754534162627
66.700000000000486,0.10000000000000001,667,308.38566945348504,1,31.126204357071671,31.126204357071671,31.126204357071671,31.126204357071671
66.80000000000048,0.10000000000000001,668,308.392576821776,1,31.132565826422141,31.132565826422141,31.132565826422141,31.132565826422141
66.900000000000475,0.10000000000000001,669,308.39947135402451,1,31.138862610344002,31.138862610344002,31.138862610344002,31.138862610344002
67.000000000000469,0.10000000000000001,670,308.40635302361284,1,31.145133437423915,31.145133437423915,31.145133437423915,31.145133437423915
67.100000000000463,0.10000000000000001,671,308.41322188779714,1,31.151378863419726,31.151378863419726,31.151378863419726,31.151378863419726
67.200000000000458,0.10000000000000001,672,308.4200780021506,1,31.157611490784181,31.157611490784181,31.157611490784181,31.157611490784181
67.300000000000452,0.10000000000000001,673,308.42692143261002,1,31.163819978264623,31.163819978264623,31.163819978264623,31.163819978264623
67.400000000000446,0.10000000000000001,674,308.43375222040112,1,31.170015238130961,31.170015238130961,31.170015238130961,31.170015238130961
67.500000000000441,0.10000000000000001,675,308.44057042395707,1,31.176190173056128,31.176190173056128,31.176190173056128,31.176190173056128
67.600000000000435,0.10000000000000001,676,308.44737609098354,1,31.18235878364894,31.18235878364894,31.18235878364894,31.18235878364894
67.700000000000429,0.10000000000000001,677,308.45416929084223,1,31.188524530694007,31.188524530694007,31.188524530694007,31.188524530694007
67.800000000000423,0.10000000000000001,678,308.46095009687497,1,31.194930285796755,31.194930285796755,31.194930285796755,31.194930285796755
67.900000000000418,0.10000000000000001,679,308.46771897370894,1,31.201527671283799,31.201527671283799,31.201527671283799,31.201527671283799
68.000000000000412,0.10000000000000001,680,308.47447628630238,1,31.208185291992937,31.208185291992937,31.208185291992937,31.208185291992937
68.100000000000406,0.10000000000000001,681,308.48122216570704,1,31.214857916320309,31.214857916320309,31.214857916320309,31.214857916320309
68.200000000000401,0.10000000000000001,682,308.48795664705943,1,31.221542192291832,31.221542192291832,31.221542192291832,31.221542192291832
68.300000000000395,0.10000000000000001,683,308.4946797496774,1,31.228209295124625,31.228209295124625,31.228209295124625,31.228209295124625
68.400000000000389,0.10000000000000001,684,308.5013914572632,1,31.23492763127328,31.23492763127328,31.23492763127328,31.23492763127328
68.500000000000384,0.10000000000000001,685,308.50809185803541,1,31.242091603778778,31.242091603778778,31.242091603778778,31.242091603778778
68.600000000000378,0.10000000000000001,686,308.51478168736116,1,31.249235926152384,31.249235926152384,31.249235926152384,31.249235926152384
68.700000000000372,0.10000000000000001,687,308.52146089509165,1,31.25631597157221,31.25631597157221,31.25631597157221,31.25631597157221
68.800000000000367,0.10000000000000001,688,308.52812936204907,1,31.263323291634968,31.263323291634968,31.263323291634968,31.263323291634968
68.900000000000361,0.10000000000000001,689,308.53478695990981,1,31.270272011470787,31.270272011470787,31.270272011470787,31.270272011470787
69.000000000000355,0.10000000000000001,690,308.54143358253276,1,31.277073133538778,31.277073133538778,31.277073133538778,31.277073133538778
69.10000000000035,0.10000000000000001,691,308.54806898645927,1,31.283569773702517,31.283569773702517,31.283569773702517,31.283569773702517
69.200000000000344,0.10000000000000001,692,308.55469268487701,1,31.289528299174002,31.289528299174002,31.289528299174002,31.289528299174002
69.300000000000338,0.10000000000000001,693,308.56130383575714,1,31.295465517291387,31.295465517291387,31.295465517291387,31.295465517291387
